algorithm,expression_str
baseline,-3/asin(3/(x + 5/(3*x)))
baseline,atan(x**3)
baseline,2*x + cosh(5*x - 5)
baseline,-3*x/cosh(atan(x) - 1) - 3
baseline,sin(asin(x)*atan(5/sin(2)))
baseline,16 - 5*x
baseline,x*atan(3)**x - E
baseline,x**(5/x**3)/(4*x)
baseline,(x + asin(2))*(x**x + cos(x))
baseline,4**(-x + 2 - 1/x**4)
baseline,x*(asin(x)/3)**x*sinh(1)
baseline,-3*x/(sinh(x) - 4)
baseline,-tanh(x - tanh(x) + atan(cosh(x)))
baseline,-x*cos(cosh(3))/log(x) + 3
baseline,asin(cos(x)) - 1 - 4/x
baseline,x + atan(x/4) - 2
baseline,sqrt(1 - x**4/(-3)**(2*x**2))
baseline,4*(x - 3)/(x**2*sinh(2))
baseline,x*log(x*(tanh(x) - 3))
baseline,x*exp(25)
baseline,asin((5*x + 5*x**x)**cos(x))
baseline,x**2*(-x/5 + sinh(3))
baseline,(-4)**(sqrt(cosh(x**(-2))*tanh(x)))
baseline,((-5)**x/3 + x/12)**asin(3)
baseline,(-3)**(x/tan(3*x)) - exp(3)
baseline,-x + (-2*sinh(5/3))**(1/x)
baseline,-x*exp(2)/atan(3)
baseline,x*(x/cosh(1) + 1)
baseline,2*x*exp(x) + x + 4
baseline,-5/(1 + tan(1)/x)
baseline,4*sqrt(x) + 4*sinh(1)
baseline,4*x - 2*sqrt((-5)**(x**2))
baseline,log(sqrt(x + atan(tanh(x + 5))))
baseline,exp(x) + atan(x) + 2 - 4/x
baseline,-4**(x + atan(5)) + 1 + asin(3)
baseline,-cos(cos(x))**3
baseline,-2**log(-sinh(x)) - 5
baseline,-exp(x*atan(3)/3)
baseline,-x - (3*E)**x + 1/16
baseline,2*x + 1/(4*x**(3/4))
baseline,log(-3*x - log(x) + 5)
baseline,tan(x/3 + (sinh(x) + 1)/x)
baseline,((-1)**(-x))**(exp(x)/x)
baseline,x**2*sqrt(log(x))
baseline,log(x/5 - (x + 3)/(2*x))
baseline,-log(2*x - 3)/625
baseline,x + (x + 3)**(4 - cosh(x)) + 5
baseline,-x + sinh(cosh(x)**x) + 1
baseline,log(x**x)/3125 + 1/3125
baseline,log(-x*(tan(1) + 3) + x)
baseline,sinh(x)/(3 + 4/x)**atan(x)
baseline,-3 + cos(2417851639229258349412352)/(2*x)
baseline,sinh(x)**(-5 + asin(exp(-tan(1))))
baseline,5*sinh(5)/log(-cosh(x) - 4)
baseline,sin(cosh(x - sinh(x + 1)))
baseline,asin(x**2 + tan(x + 1))/x
baseline,(x - pi/2)**tan(2)
baseline,-x**2 - x*cos(3)
baseline,-x + cos(x + 1)*sinh(x) + 1
baseline,2**cos(x)/x**2
baseline,-x*tan(x/(3 - x))/4 + x
baseline,x*log(log(x - x/sqrt(1 - x**2)))
baseline,-x - 127
baseline,x - 7
baseline,-x/3 - 1 + 1/sqrt(x)
baseline,-tan(x) + 5/(3*x)
baseline,x - asin(x*atan(x))**(-x - 5)
baseline,sinh((-4)**(-sinh(x)/atan(2))) + 5
baseline,log(x - tan(x + 7))
baseline,cosh(x*cosh((-4)**(-x))/4)
baseline,x**(3/2)/(sin(5) + 1)**2
