algorithm,expression_str,status,ExpressionDepth,SolvableControllabilityScore,AddRule,URule,PartsRule,CyclicPartsRule,RewriteRule,ConstantTimesRule,ConstantRule,PowerRule,SinRule,CosRule,TrigRule,ExpRule,ReciprocalRule,ArctanRule,AlternativeRule,DontKnowRule,eval_score
baseline,-3/asin(3/(x + 5/(3*x))),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,atan(x**3),ok,19.0,44.0,8.0,18.0,1.0,0.0,21.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,8.0,0.0,0.9805105328559875
baseline,2*x + cosh(5*x - 5),ok,4.0,12.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5681242346763611
baseline,-3*x/cosh(atan(x) - 1) - 3,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sin(asin(x)*atan(5/sin(2))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,16 - 5*x,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,x*atan(3)**x - E,unsolvable,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x**(5/x**3)/(4*x),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(x + asin(2))*(x**x + cos(x)),unsolvable,4.0,,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,
baseline,4**(-x + 2 - 1/x**4),unsolvable,3.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x*(asin(x)/3)**x*sinh(1),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-3*x/(sinh(x) - 4),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-tanh(x - tanh(x) + atan(cosh(x))),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x*cos(cosh(3))/log(x) + 3,ok,4.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7000799775123596
baseline,asin(cos(x)) - 1 - 4/x,unsolvable,4.0,,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
baseline,x + atan(x/4) - 2,ok,8.0,25.0,1.0,3.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9605187773704529
baseline,sqrt(1 - x**4/(-3)**(2*x**2)),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,4*(x - 3)/(x**2*sinh(2)),ok,5.0,15.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.806736946105957
baseline,x*log(x*(tanh(x) - 3)),unsolvable,10.0,,4.0,0.0,2.0,0.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,
baseline,x*exp(25),ok,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline,asin((5*x + 5*x**x)**cos(x)),timeout,,,,,,,,,,,,,,,,,,,
baseline,x**2*(-x/5 + sinh(3)),ok,4.0,13.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806736946105957
baseline,(-4)**(sqrt(cosh(x**(-2))*tanh(x))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,((-5)**x/3 + x/12)**asin(3),unsolvable,3.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(-3)**(x/tan(3*x)) - exp(3),unsolvable,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x + (-2*sinh(5/3))**(1/x),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x*exp(2)/atan(3),ok,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline,x*(x/cosh(1) + 1),ok,6.0,15.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9333471655845642
baseline,2*x*exp(x) + x + 4,ok,4.0,18.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8533406853675842
baseline,-5/(1 + tan(1)/x),ok,8.0,13.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9791905283927917
baseline,4*sqrt(x) + 4*sinh(1),ok,3.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,4*x - 2*sqrt((-5)**(x**2)),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,log(sqrt(x + atan(tanh(x + 5)))),unsolvable,5.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
baseline,exp(x) + atan(x) + 2 - 4/x,ok,5.0,22.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.9259265065193176
baseline,-4**(x + atan(5)) + 1 + asin(3),ok,6.0,18.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.9830362200737
baseline,-cos(cos(x))**3,unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-2**log(-sinh(x)) - 5,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-exp(x*atan(3)/3),ok,5.0,12.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9303086400032043
baseline,-x - (3*E)**x + 1/16,ok,3.0,20.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05346111208200455
baseline,2*x + 1/(4*x**(3/4)),ok,3.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,log(-3*x - log(x) + 5),unsolvable,8.0,,2.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,
baseline,tan(x/3 + (sinh(x) + 1)/x),unsolvable,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,((-1)**(-x))**(exp(x)/x),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x**2*sqrt(log(x)),ok,2.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9184624552726746
baseline,log(x/5 - (x + 3)/(2*x)),ok,22.0,68.0,39.0,19.0,1.0,0.0,65.0,86.0,6.0,2.0,0.0,0.0,0.0,0.0,53.0,0.0,16.0,0.0,0.9734723567962646
baseline,-log(2*x - 3)/625,ok,10.0,18.0,1.0,2.0,2.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9904562830924988
baseline,x + (x + 3)**(4 - cosh(x)) + 5,unsolvable,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x + sinh(cosh(x)**x) + 1,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,log(x**x)/3125 + 1/3125,ok,14.0,23.0,4.0,17.0,6.0,0.0,2.0,20.0,9.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.9760671257972717
baseline,log(-x*(tan(1) + 3) + x),ok,7.0,38.0,0.0,1.0,2.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9905118346214294
baseline,sinh(x)/(3 + 4/x)**atan(x),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-3 + cos(2417851639229258349412352)/(2*x),ok,3.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05563126504421234
baseline,sinh(x)**(-5 + asin(exp(-tan(1)))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,5*sinh(5)/log(-cosh(x) - 4),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sin(cosh(x - sinh(x + 1))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,asin(x**2 + tan(x + 1))/x,timeout,,,,,,,,,,,,,,,,,,,
baseline,(x - pi/2)**tan(2),ok,6.0,16.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.964085042476654
baseline,-x**2 - x*cos(3),ok,3.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,-x + cos(x + 1)*sinh(x) + 1,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,2**cos(x)/x**2,unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x*tan(x/(3 - x))/4 + x,unsolvable,5.0,,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x*log(log(x - x/sqrt(1 - x**2))),unsolvable,9.0,,2.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,
baseline,-x - 127,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,x - 7,ok,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389627143740654
baseline,-x/3 - 1 + 1/sqrt(x),ok,3.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,-tan(x) + 5/(3*x),ok,6.0,8.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9665158987045288
baseline,x - asin(x*atan(x))**(-x - 5),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sinh((-4)**(-sinh(x)/atan(2))) + 5,unsolvable,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,log(x - tan(x + 7)),unsolvable,3.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,cosh(x*cosh((-4)**(-x))/4),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x**(3/2)/(sin(5) + 1)**2,ok,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3430999517440796
baseline,sinh(3)/(-x - atan(atan(x))),unsolvable,4.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sin(tan(cos(sqrt(x + sin(2))))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-(x - 7)/(3*tanh(x)),unsolvable,11.0,,2.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,
baseline,-x + tan(x**(x + 3 - 2/x)),unsolvable,3.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-tanh(-2*x*cosh(x) + x + 5),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x + tanh(atan(x)) - sinh(5),unsolvable,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(x*(x + atan(sin(x))**x))**x,unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x**(x*cos(sin(1)**x)),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-tan(sinh(tanh(1)))/(2*x),ok,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45474973320961
baseline,3*x/cos((x**2)**(-2*x)),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,25**(tan(x) + tanh(x)),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sqrt(5)*atan(x)/(5*x),unsolvable,4.0,,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,
baseline,4*x*(x + 1),ok,4.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149764537811279
baseline,x*asin(x*x**tanh(x - 4)),timeout,,,,,,,,,,,,,,,,,,,
baseline,atan(exp(-1)/(5*x*asin(4))),ok,14.0,51.0,2.0,10.0,1.0,0.0,9.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,2.0,0.9870375394821167
baseline,5/(2*x - 2)**5,ok,7.0,9.0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9681819081306458
baseline,tanh(log((-5)**x) + atan(exp(3))),ok,5.0,17.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9340310096740723
baseline,-3*(-x)**sinh(sinh(x)),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x/4 + tan(2*x - 5),ok,8.0,15.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9650219678878784
baseline,15*x**5*tan(x)**x,unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,4/x,ok,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45474973320961
baseline,x**2/(-4*x - 4*cosh(5)),ok,8.0,22.0,2.0,2.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.9805452823638916
baseline,x/(x - sin(tanh(cos(x)))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,5 - 40/x**2,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,-x - 2 - asin(tan(1)),ok,3.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,4*sinh(x)/(x*sinh(2)**3),ok,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45474973320961
baseline,x*(x - 1),ok,4.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149764537811279
baseline,-1 - 2*asin(2)/sinh(x),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,2*x - tanh(atan(3)/4)/x,ok,3.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02998991124331951
baseline,(atan(x - 5) - 4)**(-x - 4),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,tanh(x + 5) + exp(-3) + 6,ok,5.0,13.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.933603823184967
baseline,(-x**2 + tanh(x))/cosh(4),ok,5.0,14.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8580148816108704
baseline,tan(cos((-x/4 + asin(x))**x)),unsolvable,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-2*x - 1,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,5 + pi/(4*(x - asin(x))),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sin(exp(-15)/(x**2 + 5)**5),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-x + sqrt(x*exp(x + 5)) + 1,unsolvable,4.0,,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(x**(-4))**sinh(x),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sinh((-3)**tanh(log(asin(x))))**x,unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(2*x + 3)/(x - 3),ok,10.0,13.0,8.0,10.0,0.0,0.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.9791905283927917
baseline,(-4)**(exp(7 - 2/x)/x),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,x + cosh(sin(log(x)) - 1)**4,unsolvable,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,tanh(x - 1),ok,4.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9514360427856445
baseline,-(-tan(5)*cosh(x))**x - 8,unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,exp((x*(5 - x**2))**(x/2)),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(3**x)**(sqrt(x) + 5)*exp(x),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-tan(x)**(x - 3/x)/4,unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,exp(x)*log(sqrt(cos(1)))/x,ok,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45474973320961
baseline,4**(-4*sin(x) + 4*asin(x)),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,sqrt(-x + tanh(x + sin(x))),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,(-2*x**2 + x + 6)/x,ok,4.0,11.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8149764537811279
baseline,9 - 8*x,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,-cos(x),ok,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45474973320961
baseline,4*tanh(3)/sqrt(cos(x) + 1),unsolvable,2.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,5 - atan(2**(-x**2)),unsolvable,5.0,,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-cosh(x) + 4/2**x,ok,5.0,16.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6617308259010315
baseline,5*x - 4,ok,3.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02998991124331951
baseline,x*atan(x) - asin(4),ok,7.0,20.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9853019118309021
baseline,sqrt((x + sinh(x) + sin(1))**x),unsolvable,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
baseline,-5*x + 5*sinh(x)/2 - sin(1),ok,3.0,15.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02998991124331951
baseline,2/(2 - x),ok,6.0,8.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9796531200408936
baseline,5 - cosh(x)/(4*(x**x)**x),unsolvable,3.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
