Running feature generation
[1/5000] baseline | unsolvable | ETA 20.6min
[2/5000] baseline | ok | ETA 577.3min
[3/5000] baseline | ok | ETA 386.0min
[4/5000] baseline | unsolvable | ETA 292.9min
[5/5000] baseline | unsolvable | ETA 235.4min
[6/5000] baseline | ok | ETA 196.3min
[7/5000] baseline | unsolvable | ETA 169.4min
[8/5000] baseline | unsolvable | ETA 151.6min
[9/5000] baseline | unsolvable | ETA 139.1min
[10/5000] baseline | unsolvable | ETA 130.9min
[11/5000] baseline | unsolvable | ETA 124.9min
[12/5000] baseline | unsolvable | ETA 115.4min
[13/5000] baseline | unsolvable | ETA 106.8min
[14/5000] baseline | ok | ETA 99.6min
[15/5000] baseline | unsolvable | ETA 95.5min
[16/5000] baseline | ok | ETA 90.1min
[17/5000] baseline | unsolvable | ETA 85.9min
[18/5000] baseline | ok | ETA 81.8min
[19/5000] baseline | unsolvable | ETA 116.1min
[20/5000] baseline | ok | ETA 110.4min
[21/5000] baseline | timeout | ETA 579.4min
[22/5000] baseline | ok | ETA 553.8min
[23/5000] baseline | unsolvable | ETA 530.8min
[24/5000] baseline | unsolvable | ETA 509.3min
[25/5000] baseline | unsolvable | ETA 489.2min
[26/5000] baseline | unsolvable | ETA 472.7min
[27/5000] baseline | ok | ETA 455.2min
[28/5000] baseline | ok | ETA 439.2min
[29/5000] baseline | ok | ETA 424.3min
[30/5000] baseline | ok | ETA 411.1min
[31/5000] baseline | ok | ETA 397.8min
[32/5000] baseline | unsolvable | ETA 385.4min
[33/5000] baseline | unsolvable | ETA 380.8min
[34/5000] baseline | ok | ETA 369.7min
[35/5000] baseline | ok | ETA 359.3min
[36/5000] baseline | unsolvable | ETA 349.5min
[37/5000] baseline | unsolvable | ETA 340.2min
[38/5000] baseline | ok | ETA 331.4min
[39/5000] baseline | ok | ETA 322.9min
[40/5000] baseline | ok | ETA 314.8min
[41/5000] baseline | unsolvable | ETA 323.7min
[42/5000] baseline | unsolvable | ETA 317.1min
[43/5000] baseline | unsolvable | ETA 309.8min
[44/5000] baseline | ok | ETA 302.9min
[45/5000] baseline | ok | ETA 315.7min
[46/5000] baseline | ok | ETA 309.2min
[47/5000] baseline | unsolvable | ETA 302.7min
[48/5000] baseline | unsolvable | ETA 296.4min
[49/5000] baseline | ok | ETA 291.8min
[50/5000] baseline | ok | ETA 286.9min
[51/5000] baseline | unsolvable | ETA 281.5min
[52/5000] baseline | ok | ETA 276.1min
[53/5000] baseline | unsolvable | ETA 270.9min
[54/5000] baseline | unsolvable | ETA 266.1min
[55/5000] baseline | unsolvable | ETA 261.4min
[56/5000] baseline | timeout | ETA 433.3min
[57/5000] baseline | ok | ETA 426.1min
[58/5000] baseline | ok | ETA 418.7min
[59/5000] baseline | unsolvable | ETA 411.7min
[60/5000] baseline | unsolvable | ETA 404.9min
[61/5000] baseline | unsolvable | ETA 399.0min
[62/5000] baseline | unsolvable | ETA 439.7min
[63/5000] baseline | ok | ETA 432.6min
[64/5000] baseline | ok | ETA 425.8min
[65/5000] baseline | ok | ETA 419.1min
[66/5000] baseline | ok | ETA 412.8min
[67/5000] baseline | unsolvable | ETA 406.7min
[68/5000] baseline | unsolvable | ETA 400.7min
[69/5000] baseline | unsolvable | ETA 395.5min
[70/5000] baseline | unsolvable | ETA 389.8min
[71/5000] baseline | ok | ETA 384.3min
[72/5000] baseline | unsolvable | ETA 379.3min
[73/5000] baseline | unsolvable | ETA 374.1min
[74/5000] baseline | unsolvable | ETA 370.5min
[75/5000] baseline | unsolvable | ETA 365.8min
[76/5000] baseline | unsolvable | ETA 360.9min
[77/5000] baseline | unsolvable | ETA 356.2min
[78/5000] baseline | unsolvable | ETA 351.9min
[79/5000] baseline | unsolvable | ETA 347.4min
[80/5000] baseline | ok | ETA 343.0min
[81/5000] baseline | unsolvable | ETA 338.9min
[82/5000] baseline | unsolvable | ETA 335.1min
[83/5000] baseline | unsolvable | ETA 331.7min
[84/5000] baseline | ok | ETA 327.7min
[85/5000] baseline | timeout | ETA 439.5min
[86/5000] baseline | ok | ETA 436.4min
[87/5000] baseline | ok | ETA 437.5min
[88/5000] baseline | ok | ETA 432.6min
[89/5000] baseline | unsolvable | ETA 427.7min
[90/5000] baseline | ok | ETA 423.1min
[91/5000] baseline | unsolvable | ETA 418.5min
[92/5000] baseline | ok | ETA 413.9min
[93/5000] baseline | ok | ETA 409.7min
[94/5000] baseline | unsolvable | ETA 405.6min
[95/5000] baseline | ok | ETA 401.2min
[96/5000] baseline | ok | ETA 397.0min
[97/5000] baseline | ok | ETA 392.8min
[98/5000] baseline | ok | ETA 388.8min
[99/5000] baseline | unsolvable | ETA 384.9min
[100/5000] baseline | ok | ETA 381.0min
[101/5000] baseline | unsolvable | ETA 377.3min
[102/5000] baseline | ok | ETA 373.6min
[103/5000] baseline | ok | ETA 369.9min
[104/5000] baseline | unsolvable | ETA 366.5min
[105/5000] baseline | ok | ETA 363.0min
[106/5000] baseline | unsolvable | ETA 359.7min
[107/5000] baseline | unsolvable | ETA 356.7min
[108/5000] baseline | unsolvable | ETA 353.6min
[109/5000] baseline | unsolvable | ETA 350.3min
[110/5000] baseline | unsolvable | ETA 347.1min
[111/5000] baseline | ok | ETA 344.6min
